date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:08	50/50	---MCZ	200	added ('OK')	text/plain	date:Wed,%2017%20Jun%202020%2022:18:48%20GMT	https://clickandcheat.com/robots.txt		(from )
23:17:12	3940/3940	---MCZ	200	added ('OK')	text/html	etag:W/%22f64-5a13369cd0080%22	https://clickandcheat.com/fortnite-account-generator/	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/index.html	(from )
23:17:12	116963/116963	---MCZ	200	added ('OK')	text/css	etag:W/%225e735671-1c8e3%22	https://clickandcheat.com/fortnite-account-generator/css/_bower.css	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/_bower.css	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:12	31288/31288	---MCZ	200	added ('OK')	text/css	etag:W/%225e735671-7a38%22	https://clickandcheat.com/fortnite-account-generator/css/font-awesome.min.css	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/font-awesome.min.css	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:12	8930/8930	---MCZ	200	added ('OK')	text/css	etag:W/%225e735671-22e2%22	https://clickandcheat.com/fortnite-account-generator/css/style.css	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/style.css	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:14	34198/34198	---M--	200	added ('OK')	image/png	etag:%225e735672-8596%22	https://clickandcheat.com/fortnite-account-generator/img/top-logo.png	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/img/top-logo.png	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:16	131522/131522	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e735673-201c2%22	https://clickandcheat.com/fortnite-account-generator/js/_bower.js	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/js/_bower.js	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:17	119403/119403	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e73566f-1d26b%22	https://clickandcheat.com/fortnite-account-generator/ajax/libs/chance/1.0.4/chance.min.js	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/ajax/libs/chance/1.0.4/chance.min.js	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:17	667/667	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e735672-29b%22	https://clickandcheat.com/fortnite-account-generator/js/scripts.js	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/js/scripts.js	(from https://clickandcheat.com/fortnite-account-generator/)
23:17:18	723/723	---MCZ	200	added ('OK')	text/html	etag:W/%225e735670-2d3%22	https://clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular.html	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular.html	(from https://clickandcheat.com/fortnite-account-generator/css/_bower.css)
23:17:18	733/733	---MCZ	200	added ('OK')	text/html	etag:W/%225e735671-2dd%22	https://clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regulard41dd41d.html?	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regulard41dd41dd41d.html	(from https://clickandcheat.com/fortnite-account-generator/css/_bower.css)
23:17:18	727/727	---MCZ	200	added ('OK')	text/html	etag:W/%225e73566f-2d7%22	https://clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-2.html	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-2.html	(from https://clickandcheat.com/fortnite-account-generator/css/_bower.css)
23:17:19	727/727	---MCZ	200	added ('OK')	text/html	etag:W/%225e735670-2d7%22	https://clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-3.html	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-3.html	(from https://clickandcheat.com/fortnite-account-generator/css/_bower.css)
23:17:19	727/727	---MCZ	200	added ('OK')	text/html	etag:W/%225e735670-2d7%22	https://clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-4.html	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-4.html	(from https://clickandcheat.com/fortnite-account-generator/css/_bower.css)
23:17:19	727/727	---MCZ	200	added ('OK')	text/html	etag:W/%225e735670-2d7%22	https://clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-5.html	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/css/bootstrap/dist/fonts/glyphicons-halflings-regular-5.html	(from https://clickandcheat.com/fortnite-account-generator/css/_bower.css)
23:17:38	1522057/1522057	---M--	200	added ('OK')	image/png	etag:%225e735672-173989%22	https://clickandcheat.com/fortnite-account-generator/img/fade.png	C:/Users/omar.slaoui/Documents/CPA%20docs/fortnite%20last/clickandcheat.com/fortnite-account-generator/img/fade.png	(from https://clickandcheat.com/fortnite-account-generator/)
